date_day,icd10_code_U07_1,icd10_code_U07_1_group_age_1,icd10_code_U07_1_group_age_2,icd10_code_U07_1_group_age_3,icd10_code_U07_1_group_age_4,icd10_code_U07_1_group_age_5
2020-07-21,NA,NA,NA,NA,NA,NA
2020-07-22,NA,NA,NA,NA,NA,NA
2020-07-23,NA,NA,NA,NA,NA,NA
2020-07-24,NA,NA,NA,NA,NA,NA
2020-07-25,NA,NA,NA,NA,NA,NA
2020-07-26,NA,NA,NA,NA,NA,NA
2020-07-27,NA,NA,NA,NA,NA,NA
2020-07-28,NA,NA,NA,NA,NA,NA
2020-07-29,NA,NA,NA,NA,NA,NA
2020-07-30,NA,NA,NA,NA,NA,NA
2020-07-31,NA,NA,NA,NA,NA,NA
2020-08-01,NA,NA,NA,NA,NA,NA
2020-08-02,NA,NA,NA,NA,NA,NA
2020-08-03,NA,NA,NA,NA,NA,NA
2020-08-04,NA,NA,NA,NA,NA,NA
2020-08-05,NA,NA,NA,NA,NA,NA
2020-08-06,NA,NA,NA,NA,NA,NA
2020-08-07,NA,NA,NA,NA,NA,NA
2020-08-08,NA,NA,NA,NA,NA,NA
2020-08-09,NA,NA,NA,NA,NA,NA
2020-08-10,NA,NA,NA,NA,NA,NA
2020-08-11,NA,NA,NA,NA,NA,NA
2020-08-12,NA,NA,NA,NA,NA,NA
2020-08-13,NA,NA,NA,NA,NA,NA
2020-08-14,NA,NA,NA,NA,NA,NA
2020-08-15,NA,NA,NA,NA,NA,NA
2020-08-16,NA,NA,NA,NA,NA,NA
2020-08-17,NA,NA,NA,NA,NA,NA
2020-08-18,NA,NA,NA,NA,NA,NA
2020-08-19,NA,NA,NA,NA,NA,NA
2020-08-20,NA,NA,NA,NA,NA,NA
2020-08-21,NA,NA,NA,NA,NA,NA
2020-08-22,NA,NA,NA,NA,NA,NA
2020-08-23,NA,NA,NA,NA,NA,NA
2020-08-24,NA,NA,NA,NA,NA,NA
2020-08-25,NA,NA,NA,NA,NA,NA
2020-08-26,NA,NA,NA,NA,NA,NA
2020-08-27,NA,NA,NA,NA,NA,NA
2020-08-28,NA,NA,NA,NA,NA,NA
2020-08-29,NA,NA,NA,NA,NA,NA
2020-08-30,NA,NA,NA,NA,NA,NA
2020-08-31,NA,NA,NA,NA,NA,NA
2020-09-01,NA,NA,NA,NA,NA,NA
2020-09-02,NA,NA,NA,NA,NA,NA
2020-09-03,NA,NA,NA,NA,NA,NA
2020-09-04,NA,NA,NA,NA,NA,NA
2020-09-05,NA,NA,NA,NA,NA,NA
2020-09-06,NA,NA,NA,NA,NA,NA
2020-09-07,NA,NA,NA,NA,NA,NA
2020-09-08,NA,NA,NA,NA,NA,NA
2020-09-09,NA,NA,NA,NA,NA,NA
2020-09-10,NA,NA,NA,NA,NA,NA
2020-09-11,NA,NA,NA,NA,NA,NA
2020-09-12,NA,NA,NA,NA,NA,NA
2020-09-13,NA,NA,NA,NA,NA,NA
2020-09-14,NA,NA,NA,NA,NA,NA
2020-09-15,NA,NA,NA,NA,NA,NA
2020-09-16,NA,NA,NA,NA,NA,NA
2020-09-17,NA,NA,NA,NA,NA,NA
2020-09-18,NA,NA,NA,NA,NA,NA
2020-09-19,NA,NA,NA,NA,NA,NA
2020-09-20,NA,NA,NA,NA,NA,NA
2020-09-21,NA,NA,NA,NA,NA,NA
2020-09-22,NA,NA,NA,NA,NA,NA
2020-09-23,NA,NA,NA,NA,NA,NA
2020-09-24,NA,NA,NA,NA,NA,NA
2020-09-25,NA,NA,NA,NA,NA,NA
2020-09-26,NA,NA,NA,NA,NA,NA
2020-09-27,NA,NA,NA,NA,NA,NA
2020-09-28,NA,NA,NA,NA,NA,NA
2020-09-29,NA,NA,NA,NA,NA,NA
2020-09-30,NA,NA,NA,NA,NA,NA
2020-10-01,NA,NA,NA,NA,NA,NA
2020-10-02,NA,NA,NA,NA,NA,NA
2020-10-03,NA,NA,NA,NA,NA,NA
2020-10-04,NA,NA,NA,NA,NA,NA
2020-10-05,NA,NA,NA,NA,NA,NA
2020-10-06,5,NA,NA,NA,NA,NA
2020-10-07,NA,NA,NA,NA,NA,NA
2020-10-08,5,NA,NA,NA,NA,NA
2020-10-09,NA,NA,NA,NA,NA,NA
2020-10-10,NA,NA,NA,NA,NA,NA
2020-10-11,NA,NA,NA,NA,NA,NA
2020-10-12,NA,NA,NA,NA,NA,NA
2020-10-13,NA,NA,NA,NA,NA,NA
2020-10-14,8,NA,NA,NA,NA,NA
2020-10-15,NA,NA,NA,NA,NA,NA
2020-10-16,5,NA,NA,NA,NA,NA
2020-10-17,NA,NA,NA,NA,NA,NA
2020-10-18,NA,NA,NA,NA,NA,NA
2020-10-19,7,NA,NA,NA,NA,NA
2020-10-20,10,NA,NA,NA,NA,7
2020-10-21,11,NA,NA,NA,5,6
2020-10-22,8,NA,NA,NA,NA,7
2020-10-23,9,NA,NA,NA,NA,6
2020-10-24,12,NA,NA,NA,NA,8
2020-10-25,5,NA,NA,NA,NA,NA
2020-10-26,11,NA,NA,NA,NA,8
2020-10-27,7,NA,NA,NA,NA,5
2020-10-28,15,NA,NA,NA,NA,11
2020-10-29,13,NA,NA,NA,NA,9
2020-10-30,17,NA,NA,NA,6,11
2020-10-31,10,NA,NA,NA,NA,8
2020-11-01,7,NA,NA,NA,NA,5
2020-11-02,15,NA,NA,NA,7,8
2020-11-03,15,NA,NA,NA,NA,11
2020-11-04,13,NA,NA,NA,5,7
2020-11-05,17,NA,NA,NA,6,10
2020-11-06,31,NA,NA,NA,13,18
2020-11-07,8,NA,NA,NA,NA,6
2020-11-08,7,NA,NA,NA,NA,NA
2020-11-09,19,NA,NA,NA,NA,13
2020-11-10,9,NA,NA,NA,NA,7
2020-11-11,14,NA,NA,NA,5,8
2020-11-12,11,NA,NA,NA,NA,7
2020-11-13,12,NA,NA,NA,NA,9
2020-11-14,9,NA,NA,NA,NA,5
2020-11-15,9,NA,NA,NA,NA,7
2020-11-16,18,NA,NA,NA,8,10
2020-11-17,6,NA,NA,NA,NA,NA
2020-11-18,12,NA,NA,NA,NA,8
2020-11-19,17,NA,NA,NA,5,11
2020-11-20,6,NA,NA,NA,NA,NA
2020-11-21,5,NA,NA,NA,NA,NA
2020-11-22,9,NA,NA,NA,NA,6
2020-11-23,8,NA,NA,NA,NA,5
2020-11-24,17,NA,NA,NA,NA,12
2020-11-25,8,NA,NA,NA,NA,6
2020-11-26,12,NA,NA,NA,NA,9
2020-11-27,13,NA,NA,NA,NA,10
2020-11-28,6,NA,NA,NA,NA,NA
2020-11-29,13,NA,NA,NA,NA,8
2020-11-30,14,NA,NA,NA,NA,9
2020-12-01,9,NA,NA,NA,NA,5
2020-12-02,NA,NA,NA,NA,NA,NA
2020-12-03,10,NA,NA,NA,NA,6
2020-12-04,14,NA,NA,NA,NA,12
2020-12-05,7,NA,NA,NA,NA,NA
2020-12-06,7,NA,NA,NA,NA,NA
2020-12-07,12,NA,NA,NA,5,7
2020-12-08,10,NA,NA,NA,NA,7
2020-12-09,15,NA,NA,NA,6,9
2020-12-10,10,NA,NA,NA,NA,6
2020-12-11,15,NA,NA,NA,7,6
2020-12-12,5,NA,NA,NA,NA,NA
2020-12-13,10,NA,NA,NA,NA,5
2020-12-14,17,NA,NA,NA,NA,13
2020-12-15,8,NA,NA,NA,NA,6
2020-12-16,10,NA,NA,NA,NA,5
2020-12-17,15,NA,NA,NA,NA,9
2020-12-18,14,NA,NA,NA,NA,12
2020-12-19,9,NA,NA,NA,NA,NA
2020-12-20,8,NA,NA,NA,NA,5
2020-12-21,17,NA,NA,NA,5,9
2020-12-22,7,NA,NA,NA,NA,5
2020-12-23,5,NA,NA,NA,NA,NA
2020-12-24,NA,NA,NA,NA,NA,NA
2020-12-25,12,NA,NA,NA,NA,8
2020-12-26,NA,NA,NA,NA,NA,NA
2020-12-27,13,NA,NA,NA,5,8
2020-12-28,11,NA,NA,NA,NA,9
2020-12-29,6,NA,NA,NA,NA,NA
2020-12-30,9,NA,NA,NA,NA,8
2020-12-31,15,NA,NA,NA,NA,11
2021-01-01,7,NA,NA,NA,NA,NA
2021-01-02,12,NA,NA,NA,NA,8
2021-01-03,9,NA,NA,NA,NA,7
2021-01-04,13,NA,NA,NA,NA,9
2021-01-05,NA,NA,NA,NA,NA,NA
2021-01-06,19,NA,NA,NA,NA,14
2021-01-07,11,NA,NA,NA,NA,6
2021-01-08,10,NA,NA,NA,NA,7
2021-01-09,NA,NA,NA,NA,NA,NA
2021-01-10,5,NA,NA,NA,NA,5
2021-01-11,5,NA,NA,NA,NA,NA
2021-01-12,7,NA,NA,NA,NA,6
2021-01-13,14,NA,NA,NA,NA,11
2021-01-14,11,NA,NA,NA,NA,8
2021-01-15,NA,NA,NA,NA,NA,NA
2021-01-16,NA,NA,NA,NA,NA,NA
2021-01-17,7,NA,NA,NA,NA,NA
2021-01-18,7,NA,NA,NA,NA,6
2021-01-19,6,NA,NA,NA,NA,NA
2021-01-20,9,NA,NA,NA,NA,8
2021-01-21,8,NA,NA,NA,NA,7
2021-01-22,7,NA,NA,NA,5,NA
2021-01-23,5,NA,NA,NA,NA,NA
2021-01-24,5,NA,NA,NA,NA,NA
2021-01-25,7,NA,NA,NA,NA,5
2021-01-26,NA,NA,NA,NA,NA,NA
2021-01-27,9,NA,NA,NA,6,NA
2021-01-28,NA,NA,NA,NA,NA,NA
2021-01-29,5,NA,NA,NA,NA,NA
2021-01-30,NA,NA,NA,NA,NA,NA
2021-01-31,5,NA,NA,NA,NA,NA
2021-02-01,NA,NA,NA,NA,NA,NA
2021-02-02,NA,NA,NA,NA,NA,NA
2021-02-03,5,NA,NA,NA,NA,NA
2021-02-04,NA,NA,NA,NA,NA,NA
2021-02-05,6,NA,NA,NA,NA,NA
2021-02-06,NA,NA,NA,NA,NA,NA
2021-02-07,NA,NA,NA,NA,NA,NA
2021-02-08,NA,NA,NA,NA,NA,NA
2021-02-09,9,NA,NA,NA,NA,5
2021-02-10,5,NA,NA,NA,NA,NA
2021-02-11,NA,NA,NA,NA,NA,NA
2021-02-12,NA,NA,NA,NA,NA,NA
2021-02-13,NA,NA,NA,NA,NA,NA
2021-02-14,NA,NA,NA,NA,NA,NA
2021-02-15,5,NA,NA,NA,NA,NA
2021-02-16,5,NA,NA,NA,NA,NA
2021-02-17,NA,NA,NA,NA,NA,NA
2021-02-18,NA,NA,NA,NA,NA,NA
2021-02-19,NA,NA,NA,NA,NA,NA
2021-02-20,NA,NA,NA,NA,NA,NA
2021-02-21,NA,NA,NA,NA,NA,NA
2021-02-22,6,NA,NA,NA,NA,NA
2021-02-23,NA,NA,NA,NA,NA,NA
2021-02-24,NA,NA,NA,NA,NA,NA
2021-02-25,7,NA,NA,NA,NA,NA
2021-02-26,NA,NA,NA,NA,NA,NA
2021-02-27,NA,NA,NA,NA,NA,NA
2021-02-28,NA,NA,NA,NA,NA,NA
2021-03-01,NA,NA,NA,NA,NA,NA
2021-03-02,NA,NA,NA,NA,NA,NA
2021-03-03,5,NA,NA,NA,NA,NA
2021-03-04,NA,NA,NA,NA,NA,NA
2021-03-05,NA,NA,NA,NA,NA,NA
2021-03-06,NA,NA,NA,NA,NA,NA
2021-03-07,NA,NA,NA,NA,NA,NA
2021-03-08,NA,NA,NA,NA,NA,NA
2021-03-09,NA,NA,NA,NA,NA,NA
2021-03-10,NA,NA,NA,NA,NA,NA
2021-03-11,NA,NA,NA,NA,NA,NA
2021-03-12,NA,NA,NA,NA,NA,NA
2021-03-13,NA,NA,NA,NA,NA,NA
2021-03-14,NA,NA,NA,NA,NA,NA
2021-03-15,5,NA,NA,NA,NA,NA
2021-03-16,5,NA,NA,NA,NA,NA
2021-03-17,NA,NA,NA,NA,NA,NA
2021-03-18,NA,NA,NA,NA,NA,NA
2021-03-19,NA,NA,NA,NA,NA,NA
2021-03-20,NA,NA,NA,NA,NA,NA
2021-03-21,NA,NA,NA,NA,NA,NA
2021-03-22,NA,NA,NA,NA,NA,NA
2021-03-23,NA,NA,NA,NA,NA,NA
2021-03-24,NA,NA,NA,NA,NA,NA
2021-03-25,NA,NA,NA,NA,NA,NA
2021-03-26,NA,NA,NA,NA,NA,NA
2021-03-27,NA,NA,NA,NA,NA,NA
2021-03-28,NA,NA,NA,NA,NA,NA
2021-03-29,NA,NA,NA,NA,NA,NA
2021-03-30,11,NA,NA,NA,7,NA
2021-03-31,6,NA,NA,NA,NA,5
2021-04-01,NA,NA,NA,NA,NA,NA
2021-04-02,NA,NA,NA,NA,NA,NA
2021-04-03,7,NA,NA,NA,NA,5
2021-04-04,5,NA,NA,NA,NA,NA
2021-04-05,NA,NA,NA,NA,NA,NA
2021-04-06,NA,NA,NA,NA,NA,NA
2021-04-07,NA,NA,NA,NA,NA,NA
2021-04-08,8,NA,NA,NA,NA,NA
2021-04-09,NA,NA,NA,NA,NA,NA
2021-04-10,NA,NA,NA,NA,NA,NA
2021-04-11,7,NA,NA,NA,NA,NA
2021-04-12,7,NA,NA,NA,NA,NA
2021-04-13,5,NA,NA,NA,NA,NA
2021-04-14,NA,NA,NA,NA,NA,NA
2021-04-15,5,NA,NA,NA,NA,NA
2021-04-16,NA,NA,NA,NA,NA,NA
2021-04-17,NA,NA,NA,NA,NA,NA
2021-04-18,5,NA,NA,NA,NA,NA
2021-04-19,NA,NA,NA,NA,NA,NA
2021-04-20,5,NA,NA,NA,NA,NA
2021-04-21,7,NA,NA,NA,NA,NA
2021-04-22,10,NA,NA,NA,5,NA
2021-04-23,6,NA,NA,NA,5,NA
2021-04-24,NA,NA,NA,NA,NA,NA
2021-04-25,NA,NA,NA,NA,NA,NA
2021-04-26,6,NA,NA,NA,NA,NA
2021-04-27,NA,NA,NA,NA,NA,NA
2021-04-28,5,NA,NA,NA,5,NA
2021-04-29,NA,NA,NA,NA,NA,NA
2021-04-30,6,NA,NA,NA,NA,NA
2021-05-01,8,NA,NA,NA,5,NA
2021-05-02,7,NA,NA,NA,NA,NA
2021-05-03,NA,NA,NA,NA,NA,NA
2021-05-04,5,NA,NA,NA,NA,NA
2021-05-05,NA,NA,NA,NA,NA,NA
2021-05-06,NA,NA,NA,NA,NA,NA
2021-05-07,NA,NA,NA,NA,NA,NA
2021-05-08,NA,NA,NA,NA,NA,NA
2021-05-09,NA,NA,NA,NA,NA,NA
2021-05-10,NA,NA,NA,NA,NA,NA
2021-05-11,NA,NA,NA,NA,NA,NA
2021-05-12,NA,NA,NA,NA,NA,NA
2021-05-13,NA,NA,NA,NA,NA,NA
2021-05-14,NA,NA,NA,NA,NA,NA
2021-05-15,NA,NA,NA,NA,NA,NA
2021-05-16,NA,NA,NA,NA,NA,NA
2021-05-17,6,NA,NA,NA,NA,NA
2021-05-18,NA,NA,NA,NA,NA,NA
2021-05-19,NA,NA,NA,NA,NA,NA
2021-05-20,NA,NA,NA,NA,NA,NA
2021-05-21,NA,NA,NA,NA,NA,NA
2021-05-22,NA,NA,NA,NA,NA,NA
2021-05-23,NA,NA,NA,NA,NA,NA
2021-05-24,NA,NA,NA,NA,NA,NA
2021-05-25,NA,NA,NA,NA,NA,NA
2021-05-26,NA,NA,NA,NA,NA,NA
2021-05-27,NA,NA,NA,NA,NA,NA
2021-05-28,NA,NA,NA,NA,NA,NA
2021-05-29,NA,NA,NA,NA,NA,NA
2021-05-30,NA,NA,NA,NA,NA,NA
2021-05-31,NA,NA,NA,NA,NA,NA
2021-06-01,NA,NA,NA,NA,NA,NA
2021-06-02,NA,NA,NA,NA,NA,NA
2021-06-03,NA,NA,NA,NA,NA,NA
2021-06-04,NA,NA,NA,NA,NA,NA
2021-06-05,NA,NA,NA,NA,NA,NA
2021-06-06,NA,NA,NA,NA,NA,NA
2021-06-07,NA,NA,NA,NA,NA,NA
2021-06-08,NA,NA,NA,NA,NA,NA
2021-06-09,NA,NA,NA,NA,NA,NA
2021-06-10,NA,NA,NA,NA,NA,NA
2021-06-11,NA,NA,NA,NA,NA,NA
2021-06-12,NA,NA,NA,NA,NA,NA
2021-06-13,NA,NA,NA,NA,NA,NA
2021-06-14,NA,NA,NA,NA,NA,NA
2021-06-15,NA,NA,NA,NA,NA,NA
2021-06-16,NA,NA,NA,NA,NA,NA
2021-06-17,NA,NA,NA,NA,NA,NA
2021-06-18,NA,NA,NA,NA,NA,NA
2021-06-19,NA,NA,NA,NA,NA,NA
2021-06-20,NA,NA,NA,NA,NA,NA
2021-06-21,NA,NA,NA,NA,NA,NA
2021-06-22,NA,NA,NA,NA,NA,NA
2021-06-23,NA,NA,NA,NA,NA,NA
2021-06-24,NA,NA,NA,NA,NA,NA
2021-06-25,NA,NA,NA,NA,NA,NA
2021-06-26,NA,NA,NA,NA,NA,NA
2021-06-27,NA,NA,NA,NA,NA,NA
2021-06-28,NA,NA,NA,NA,NA,NA
2021-06-29,NA,NA,NA,NA,NA,NA
2021-06-30,NA,NA,NA,NA,NA,NA
2021-07-01,NA,NA,NA,NA,NA,NA
2021-07-02,NA,NA,NA,NA,NA,NA
2021-07-03,NA,NA,NA,NA,NA,NA
2021-07-04,NA,NA,NA,NA,NA,NA
2021-07-05,NA,NA,NA,NA,NA,NA
2021-07-06,NA,NA,NA,NA,NA,NA
2021-07-07,NA,NA,NA,NA,NA,NA
2021-07-08,NA,NA,NA,NA,NA,NA
2021-07-09,NA,NA,NA,NA,NA,NA
2021-07-10,NA,NA,NA,NA,NA,NA
2021-07-11,NA,NA,NA,NA,NA,NA
2021-07-12,NA,NA,NA,NA,NA,NA
2021-07-13,NA,NA,NA,NA,NA,NA
2021-07-14,NA,NA,NA,NA,NA,NA
